"PartnerId","CustomerId","CustomerName","CustomerDomainName","CustomerCountry","InvoiceNumber","MpnId","OrderId","OrderDate","ProductId","SkuId","AvailabilityId","SkuName","ProductName","ChargeType","UnitPrice","Quantity","Subtotal","TaxTotal","Total","Currency","PriceAdjustmentDescription","PublisherName","PublisherId","SubscriptionDescription","SubscriptionId","ChargeStartDate","ChargeEndDate","TermAndBillingCycle","EffectiveUnitPrice","UnitType","AlternateId","BillableQuantity","BillingFrequency","PricingCurrency","PCToBCExchangeRate","PCToBCExchangeRateDate","MeterDescription","ReservationOrderId","CreditReasonCode","SubscriptionStartDate","SubscriptionEndDate","ReferenceId","ProductQualifiers","PromotionId"
"8bd6856a-5363-42a4-9c85-39747740a018","baf00b3a-3dce-4b83-a82c-e4ffaee51f84","Ayuda Media Systems","giovanayudasystems.onmicrosoft.com","CA","G004733043","667319","Rbn59KeF6tNTxCbhRgOIQbbtXpDFbKXy1","07/03/2021","DZH318Z0BP0L","004P","DZH318Z0BDC1","Standard HDD Managed Disks - S4 LRS - US North Central","Standard HDD Managed Disks","new","1.536","1","3.16","0.41","3.57","CAD","[""15.0% Partner earned credit for services managed""]","Microsoft","","Azure plan","5d50f440-5755-a01f-402b-4e8d4d6b9ba1","06/01/2021","06/30/2021","1 Disk/Month","1.3056","1/Month","204531737f13","2.00016","","USD","1.2115","06/30/2021","Standard HDD Managed Disks - S4 - Disks/Month - US North Central","8D429206CE15E8F6B584C34DE47755023110178A05299BC01CD66C4F27B4E1B2","","","","2d5868c4-809b-43f0-b106-3e4983355af8","",""
"8bd6856a-5363-42a4-9c85-39747740a018","425384d7-449d-4d45-b849-943c2d2c9d13","Accident Support Services","accsupport.com","CA","G004733043","667319","cLhC0MKABn9spClVAcfcQpylx8i-65oT1","07/03/2021","DZH318Z0BQNH","005D","DZH318Z08V5F","Virtual Machines BS Series Windows - B2s - CA Central","Virtual Machines BS Series Windows","new","0.0544","1","111.83","14.54","126.37","CAD","[""15.0% Partner earned credit for services managed""]","Microsoft","","Azure plan","aed464c2-eba8-d864-91ee-3ba7d3767b36","06/01/2021","06/30/2021","1 Compute Hour","0.04624","1 Hour","b12102c729ab","1996.383541","","USD","1.2115","06/30/2021","Virtual Machines BS Series Windows - B2s Hours - CA Central","E3454990B65A2CB8F2D654A6B6DE7ECFE447B3C2E9483503FE364D3CB28ECC51","","","","fdae3b10-b858-46f1-8a3e-974848a0e8df","",""
"8bd6856a-5363-42a4-9c85-39747740a018","baf00b3a-3dce-4b83-a82c-e4ffaee51f84","Ayuda Media Systems","giovanayudasystems.onmicrosoft.com","CA","G004733043","667319","pPl_NELt9mhiFuhXYH9DTq4QYoKsX7Gu1","07/03/2021","DZH318Z0BQHF","01MQ","DZH318Z0DCBT","SQL Database Single Standard - S1","SQL Database Single Standard","new","0.9677","1","119.69","15.56","135.25","CAD","[""15.0% Partner earned credit for services managed""]","Microsoft","","Azure plan","5d50f440-5755-a01f-402b-4e8d4d6b9ba1","06/01/2021","06/30/2021","10 DTUs/Day","0.822545","1/Day","1983ac059266","120.125","","USD","1.2115","06/30/2021","SQL Database Single Standard - S1 - DTUs/Day","4E69148C87C33E0F1F5DCD5338A5B94A2637185C72AD1E66EA465DA2AC3DF385","","","","baf57e1a-71e7-4d30-bbeb-109939635728","",""
"8bd6856a-5363-42a4-9c85-39747740a018","31bff928-3320-4ccf-a29d-07cb232e2de3","360Incentives.com Canada ULC","360in.onmicrosoft.com","CA","G004733043","667319","yPUggK90I1vtsUertuSPTaXsJWvWHTTO1","07/03/2021","DZH318Z0BP04","005L","DZH318Z09ZZV","Premium SSD Managed Disks - P4 - US East 2","Premium SSD Managed Disks","new","4.8001","1","4.94","0.64","5.58","CAD","[""15.0% Partner earned credit for services managed""]","Microsoft","","Azure plan","22568e98-9501-4e35-ae1e-e6ddadac3223","06/01/2021","06/30/2021","1 Disk/Month","4.080085","1/Month","3d9ca5f21f0c","1.00008","","USD","1.2115","06/30/2021","Premium SSD Managed Disks - P4 - LRS - Disk Month - US East 2","A9E1FC6570FC92A82540FA3FC308862889B457E7EAD1F905A97713F586C74CDA","","","","340ffa6a-627b-44f0-ac30-ad746b2f6116","",""
"8bd6856a-5363-42a4-9c85-39747740a018","a38e11c1-6c7f-49b5-87e6-602eec3eca7a","CPAO","cpaontario.onmicrosoft.com","CA","G004733043","667319","jsKEcqj4Ff1AGeB3gK23R77vAHe3dJvU1","07/03/2021","DZH318Z0BQFF","001Z","DZH318Z0C5XB","Event Hubs - Standard","Event Hubs","new","0.03","1","10.34","1.34","11.68","CAD","[""15.0% Partner earned credit for services managed""]","Microsoft","","Azure plan","39ac01e4-760b-47de-d694-12122a8988df","06/01/2021","06/30/2021","1 Throughput Unit Hour","0.0255","1/Day","3c43df256734","335","","USD","1.2115","06/30/2021","Event Hubs - Standard - Throughput Unit Hours","CF7C2F0AE83787A3B04DD79AD8E552C5D2CD3B5F5FA05F087078770905ECE4B4","","","","f676144e-3bee-4117-b82f-7b7ec84c6c38","",""
"8bd6856a-5363-42a4-9c85-39747740a018","cc225753-107a-4597-990e-5e769ba1fc10","Datafix","infodatafix.onmicrosoft.com","CA","G004733043","667319","cvldOKFNVl9Bp_PG_xt_Rb-cpzm09ysI1","07/03/2021","DZH318Z0BNZ5","006G","DZH318Z09XMT","Tables - LRS","Tables","new","0.00036","1","0","0","0","CAD","[""15.0% Partner earned credit for services managed""]","Microsoft","","Azure plan","7f64faac-f7c5-16fe-1444-3d76b9a02e31","06/01/2021","06/30/2021","10K Read Operations","0.000306","10K","3818b0081e14","0.2536","","USD","1.2115","06/30/2021","Tables - 10K Read Operations","E49898A9862C312B93BEC31E6420A029404DBB74D26670C07021CA3DB89C61D7","","","","1e9f822e-7582-4d91-8664-69266f81293d","",""
"8bd6856a-5363-42a4-9c85-39747740a018","b904dd8d-08a4-4379-bec5-b8f833c381e5","Cority Inc.","Medgate.onmicrosoft.com","CA","G004733043","667319","dMH9sC9-veV8rfpni6X3R6fR6ccA9Tr61","07/03/2021","DZH318Z0BP04","00NL","DZH318Z0BF5B","Premium SSD Managed Disks - Snapshots - US West","Premium SSD Managed Disks","new","0.132","1","14.56","1.89","16.45","CAD","[""15.0% Partner earned credit for services managed""]","Microsoft","","Azure plan","039f70f7-a8e7-4650-c45e-67b90d12d07f","06/01/2021","06/30/2021","Snapshots (GB/Month)","0.1122","1/Month","4979a1eb9792","107.17415","","USD","1.2115","06/30/2021","Premium SSD Managed Disks - LRS Snapshots (GB/Month) - US West","2560200923B2ADFB352C31DCE2622DA111AA508D314DFE8BCC98A5C88D8E69E1","","","","6213876b-214c-49ad-8283-b4b1aeda73a0","",""
"8bd6856a-5363-42a4-9c85-39747740a018","ad8c7f13-7037-491b-ba70-aa66cf1fa776","Pelmorex","pelmorex.com","CA","G004733043","667319","vi7wZP_c2ktKzW3z8yUbQIdzoFHty0at1","06/06/2021","DZH318Z0BQ35","00D5","DZH318XZP2W3","Reserved VM Instance, Standard_B4ms, CA Central, 3 Years","Virtual Machines BS Series","cycleCharge","48.66","1","58.95","7.66","66.61","CAD","","Microsoft","","","faea4428-6588-0a73-d5b2-7b05fd9d665c","06/06/2021","07/05/2021","3 Years Reservation","48.66","1 Hour","1703b4a217e1","1","Monthly","USD","1.2115","06/06/2021","","ac638819-ca6d-4c96-bebe-b6e76cbcc5e6","","11/06/2020","11/05/2023","9ec946e1-17a4-4558-8203-c75ebba3541a","",""
"8bd6856a-5363-42a4-9c85-39747740a018","7811c6b6-7003-4a16-87b5-93ef93766196","LAWPRO","lawpro.ca","CA","G004733043","667319","qaiUHAoDnaAkPC5q7Sl9RqAHb6Eef3T81","07/03/2021","DZH318Z0BP0L","0024","DZH318Z0B9L6","Standard HDD Managed Disks - S6 LRS - CA East","Standard HDD Managed Disks","new","3.309","1","115.85","15.06","130.91","CAD","[""15.0% Partner earned credit for services managed""]","Microsoft","","Azure plan","88b14b68-aadc-fd92-d85b-3d2c1a120c92","06/01/2021","06/30/2021","1 Disk/Month","2.81265","1/Month","66936d61c974","34.00272","","USD","1.2115","06/30/2021","Standard HDD Managed Disks - S6 - Disks/Month - CA East","AB3FF8EE0061854205B1B9EEC121FAA8D75C6EBE54AD65DFA0F56B327E91B5D1","","","","aa14ac99-41f2-473f-9a9c-1db0ce4d7c33","",""
"8bd6856a-5363-42a4-9c85-39747740a018","69e643b5-18df-46af-ace9-a2886ef94244","Geoforce Canada","trakopolis.com","CA","G004733043","667319","SdYKQlhZ8QPJFBMrStxCQb3BK9roVh3o1","07/03/2021","DZH318Z0BNZH","006F","DZH318Z08CQ9","General Block Blob - LRS","General Block Blob","new","0.00036","1","0.07","0.01","0.08","CAD","[""15.0% Partner earned credit for services managed""]","Microsoft","","Azure plan","8d394c93-cb1a-4145-cd03-8e37df38144c","06/01/2021","06/30/2021","10K List and Create Container Operations","0.000306","10K","0294a2e206c3","228.0992","","USD","1.2115","06/30/2021","General Block Blob - LRS - 10K List and Create Container Operations","04FD18124DEF768E71A3D152416ED0C2D526498254A09D594CD5F2B3FF35ADA3","","","","84952fa1-ab20-4f89-81ee-7f6852a85e87","",""
